package	upstream	copr	debian	ours	status	debian_pkg	url
ANTs	2.6.5	2.6.5	-	2.6.5-1~noble1	OURS	-	https://github.com/ANTsX/ANTs
InsightToolkit5	5.4.6	5.4.6	5.3.0	5.4.6-1~noble3	OURS	libinsighttoolkit5-dev	https://itk.org/
liblsl	-	1.17.7	-	1.17.7-1	OURS	-	https://github.com/sccn/liblsl
python-pylsl	-	1.18.2	-	1.18.2-1	OURS	-	https://github.com/labstreaminglayer/pylsl
python-pyxdf	-	1.17.4	-	1.17.5-1	OURS	-	https://github.com/xdf-modules/pyxdf
biosig4c++	-	3.9.4	2.6.0	-	OUTDATED	libbiosig3	https://sourceforge.net/projects/%{pretty_name}/
compat-libtiff5	-	4.4.0	4.3.0	-	OUTDATED	libtiff5	http://www.libtiff.org/
dart	-	6.18.0	6.13.2	-	OUTDATED	libdart-all-dev	https://dartsim.github.io/
dlib	-	20.0.1	19.24	-	OUTDATED	libdlib-dev	http://dlib.net
ismrmrd	-	1.15.0	1.8.0	-	OUTDATED	libismrmrd-dev	https://github.com/ismrmrd/ismrmrd
libxdf	-	0.99.10	0.99.8	-	OUTDATED	libxdf0	https://github.com/xdf-modules/libxdf
openigtlink	-	3.1.0	1.11.0	-	OUTDATED	libopenigtlink-dev	https://github.com/openigtlink/OpenIGTLink
urdfdom	-	4.0.2	4.0.0	-	OUTDATED	liburdfdom-dev	http://ros.org/wiki/urdf
urdfdom-headers	-	1.1.2	1.0.5	-	OUTDATED	liburdfdom-headers-dev	http://ros.org/wiki/urdf
vtk	9.6.2	9.6.2	9.1.0	9.5.2+dfsg4-5ubuntu2	OURS	libvtk9-dev	https://vtk.org/
vtk-mpi	-	9.6.2	9.1.0	-	OUTDATED	libvtk9-dev	https://vtk.org/
afni	-	26.1.04	(data)	-	PARTIAL	afni-atlases	https://afni.nimh.nih.gov/
freesurfer7-synth-tools	-	%{fs_ver}	8.2.0	-	PARTIAL	freesurfer	https://surfer.nmr.mgh.harvard.edu/
freesurfer8-synth-tools	-	%{fs_ver}	8.2.0	-	PARTIAL	freesurfer	https://surfer.nmr.mgh.harvard.edu/
freesurfer8-synthstrip	-	%{fs_ver}	8.2.0	-	PARTIAL	freesurfer	https://surfer.nmr.mgh.harvard.edu/docs/synthstrip/
fsl-first	-	2203.1	5.0.7	-	PARTIAL	fsl-first-data	https://fsl.fmrib.ox.ac.uk/fsl/fslwiki/FIRST
fsl-possum	-	2111.3	5.0.7	-	PARTIAL	fsl-possum-data	https://fsl.fmrib.ox.ac.uk/fsl/fslwiki/POSSUM
python-pybids	-	0.22.0	1.14.1	-	PARTIAL	python3-bids-validator	https://bids.neuroimaging.io
ciftilib	-	1.6.0	1.6.0	-	SKIP	libcifti-dev	https://github.com/Washington-University/CiftiLib
fcl	-	0.7.0	0.7.0	-	SKIP	libfcl-dev	https://github.com/flexible-collision-library/fcl
flann	-	1.9.2	1.9.2	-	SKIP	libflann-dev	http://www.cs.ubc.ca/research/flann
freesurfer7	-	7.4.1	8.2.0	-	SKIP	freesurfer	https://surfer.nmr.mgh.harvard.edu/
freesurfer8	-	8.2.0	8.2.0	-	SKIP	freesurfer	https://surfer.nmr.mgh.harvard.edu/
gifticlib-cmake-devel	-	1.0.9	1.0.9	-	SKIP	libgiftiio-dev	http://www.nitrc.org/projects/gifti/
tclap	-	1.2.5	1.2.5	-	SKIP	libtclap-dev	https://tclap.sourceforge.net/
teem	-	1.12.0	1.12.0	-	SKIP	libteem-dev	https://teem.sourceforge.net
3dslicer	-	%{slicer_ver}	-	-	MISSING	-	https://slicer.org/
3dslicer-elastix	-	1.0	-	-	MISSING	-	https://github.com/lassoan/SlicerElastix
3dslicer-monailabel	-	1.0	-	-	MISSING	-	https://github.com/Project-MONAI/MONAILabel
3dslicer-openlifu	-	1.19.0	-	-	MISSING	-	https://github.com/OpenwaterHealth/SlicerOpenLIFU
3dslicer-totalsegmentator	-	1.0	-	-	MISSING	-	https://github.com/lassoan/SlicerTotalSegmentator
anima	-	4.2	-	-	MISSING	-	https://github.com/Inria-Empenn/Anima-Public
ANTs3	-	3.0.0^%{snapdate}git%{shortcommit}	-	-	MISSING	-	https://github.com/ANTsX/ANTs
App-AudioCapture	-	1.17.0	-	-	MISSING	-	https://github.com/labstreaminglayer/App-AudioCapture
App-Gamepad	-	1.16.1	-	-	MISSING	-	https://github.com/labstreaminglayer/App-Gamepad
App-PupilLabs	-	0	-	-	MISSING	-	https://github.com/labstreaminglayer/App-PupilLabs
App-SigVisualizer	-	0	-	-	MISSING	-	https://github.com/labstreaminglayer/App-SigVisualizer
App-XDFStreamer	-	1.15.0	-	-	MISSING	-	https://github.com/labstreaminglayer/App-XDFStreamer
babelbrain	-	0.8.1	-	-	MISSING	-	https://github.com/ProteusMRIgHIFU/BabelBrain
bicpl	-	2.0.0	-	-	MISSING	-	https://github.com/BIC-MNI/bicpl
brainflow	-	5.22.2	-	-	MISSING	-	https://brainflow.org
c3d	-	1.4.6	-	-	MISSING	-	https://github.com/pyushkevich/c3d
cc3d-player5	-	4.9.0	-	-	MISSING	-	https://compucell3d.org
cc3d-twedit5	-	4.9.0	-	-	MISSING	-	https://compucell3d.org
cmdstan	-	2.39.0	-	-	MISSING	-	https://mc-stan.org/users/interfaces/cmdstan
commontk-applauncher	-	%{upstream_ver}	-	-	MISSING	-	https://github.com/commontk/AppLauncher
compucell3d	-	4.9.0	-	-	MISSING	-	https://github.com/CompuCell3D/CompuCell3D
ctk	-	2026.01.26	-	-	MISSING	-	https://commontk.org/
dicomanonymizer	-	1.0.13.post1	-	-	MISSING	-	https://github.com/KitwareMedical/dicom-anonymizer
dsi-studio	-	2025.01	-	-	MISSING	-	https://dsi-studio.labsolver.org/
dtk	-	1.7.1	-	-	MISSING	-	https://dtk.inria.fr/
dtk-qt6	-	1.7.1	-	-	MISSING	-	https://gitlab.com/morgan.hough/dtk-qt6
fsl	-	6.0.7.18	-	-	MISSING	-	https://fsl.fmrib.ox.ac.uk
fsl-avwutils	-	2209.3	-	-	MISSING	-	https://fsl.fmrib.ox.ac.uk
fsl-bet2	-	2111.9	-	-	MISSING	-	https://fsl.fmrib.ox.ac.uk/fsl/fslwiki/BET
fsl-bianca	-	2209.3	-	-	MISSING	-	https://fsl.fmrib.ox.ac.uk/fsl/fslwiki/BIANCA
fsl-cluster	-	2201.0	-	-	MISSING	-	https://fsl.fmrib.ox.ac.uk/fsl/fslwiki/Cluster
